region_id	0_ID	1_Outer_cell_layer(nm)	2_Nucleus	3_Trichocysts	4_Chloroplast	5_Plastoglobuli	6_Pusule	7_Food_vacuole	8_Starch	9_Crystalline_compartment	10_Large_vacuole	11_CBB/flagella	12_Symbiosis/parasitism/Prey/2=Kleptoplastidism	13_Reticulated_network	14_Electron_dense_sheets	15_Tubular_network	16_Rhabdosomes_and_alike_structure	17_eyespot/mt_array	19_Presumed_ID	18_NI_a_z	20_Area(nm^2)
1	VSM20_A1_AM1_001	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	NI	r 	96112000000
2	VSM20_A1_AM1_002	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	NI	p	109830000000
3	VSM20_A1_AM1_003	0	1	1	1	0	0	0	7	0	0	0	0	1	0	0	0	0	NI	x	176630000000
4	VSM20_A1_AM1_004	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	NI	x	472570000000
5	VSM20_A1_AM1_005	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	NI	p	671340000000
6	VSM20_A1_AM1_006	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	NI	s	21247000000
7	VSM20_A1_AM1_007	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Corythodinium_sp	j	507860000000
8	VSM20_A1_AM1_008	0	0	1	1	0	0	0	2	1	0	0	0	0	0	0	0	0	Oxytoxum_sp	j	34101000000
9	VSM20_A1_AM1_009	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	NI	x	95478000000
10	VSM20_A1_AM1_010	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	NI	x	173010000000
11	VSM20_A1_AM1_011	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	Oxytoxum_sp	j	58461000000
12	VSM20_A1_AM1_012	0	1	1	1	2	1	0	0	1	0	0	0	0	0	0	0	0	Prorocentrum_sp	a	89704000000
13	VSM20_A1_AM1_013	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Triadinium_sphaericum_sp	d,o	411430000000
14	VSM20_A1_AM1_014	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	Triadinium_sphaericum_sp	d,r	543130000000
15	VSM20_A1_AM1_015	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	NI	r	31285000000
16	VSM20_A1_AM1_016	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Corythodinium_sp	j	268720000000
17	VSM20_A1_AM1_017	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	Dinophysis_sp	x	525250000000
18	VSM20_A1_AM1_018	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NI	l	148110000000
19	VSM20_A1_AM1_019	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	NI	x	51384000000
20	VSM20_A1_AM1_020	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	NI	g,h	267670000000
21	VSM20_A1_AM1_021	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	NI	p,r	553140000000
22	VSM20_A1_AM1_022	0	1	1	1	6	1	0	0	0	0	0	0	0	0	0	0	0	NI	m,u	592750000000
23	VSM20_A1_AM1_023	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	Protoperidinium_sp	r	354860000000
24	VSM20_A1_AM1_024	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	NI	x	487730000000
25	VSM20_A1_AM1_025	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	NI	x	289960000000
26	VSM20_A1_AM1_026	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	NI	r	237870000000
27	VSM20_A1_AM1_027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NI	x	0
28	VSM20_A1_AM1_028	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	NI	g,h	133380000000
29	VSM20_A1_AM1_029	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	NI	x	14794000000
30	VSM20_A1_AM1_030	0	1	1	1	6	0	0	0	0	0	0	0	0	0	1	0	0	NI	l	227960000000
31	VSM20_A1_AM1_031	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	NI	x	156920000000
32	VSM20_A1_AM1_032	0	0	1	1	4	1	0	0	1	0	0	0	0	0	0	0	1	NI	g,h,v	248500000000
33	VSM20_A1_AM1_033	0	1	1	1	2	0	0	0	1	0	0	0	0	0	0	0	1	NI	h,r	303580000000
34	VSM20_A1_AM1_034	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	NI	x	56072000000
35	VSM20_A1_AM1_035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Diatom	x	0
36	VSM20_A1_AM1_036	0	0	0	1	3	0	0	3	1	0	0	0	0	1	0	0	0	NI	r	39833000000
37	VSM20_A1_AM1_037	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	NI	h,r	365930000000
38	VSM20_A1_AM1_038	0	1	1	1	0	0	0	2	0	0	0	0	1	0	0	0	0	NI	h	197210000000
39	VSM20_A1_AM1_039	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	NI	x	120760000000
40	VSM20_A1_AM1_040	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	NI	x	26805000000
41	VSM20_A1_AM1_041	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	NI	r	181480000000
42	VSM20_A1_AM1_042	0	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	NI	r	102410000000
43	VSM20_A1_AM1_043	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	NI	a	23826000000
44	VSM20_A1_AM1_044	0	1	0	1	4	0	1	0	1	0	0	0	0	0	0	0	0	NI	r	72107000000
45	VSM20_A1_AM1_045	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	NI	l,u	182760000000
46	VSM20_A1_AM1_046	0	1	0	1	5	0	0	0	0	0	0	0	0	0	0	1	0	Dinophysis_sp	x	149230000000
